상권_코드,filename,lat,lng,heading,success
3120015,37.571204_127.006372_79.jpg,37.571204,127.006372,79,True
3120015,37.571204_127.006372_259.jpg,37.571204,127.006372,259,True
3120015,37.571844_127.006770_148.jpg,37.571844,127.00677,148,True
3120015,37.571844_127.006770_328.jpg,37.571844,127.00677,328,True
3120015,37.572429_127.007166_113.jpg,37.572429,127.007166,113,True
3120015,37.572429_127.007166_293.jpg,37.572429,127.007166,293,True
3120015,37.571876_127.005687_91.jpg,37.571876,127.005687,91,True
3120015,37.571876_127.005687_271.jpg,37.571876,127.005687,271,True
3120015,37.571308_127.008858_340.jpg,37.571308,127.008858,340,True
3120015,37.571308_127.008858_160.jpg,37.571308,127.008858,160,True
3120015,37.572145_127.008244_54.jpg,37.572145,127.008244,54,True
3120015,37.572145_127.008244_234.jpg,37.572145,127.008244,234,True
3120014,37.573444_127.004232_247.jpg,37.573444,127.004232,247,True
3120014,37.573444_127.004232_67.jpg,37.573444,127.004232,67,True
3120014,37.572990_127.004364_257.jpg,37.57299,127.004364,257,True
3120014,37.572990_127.004364_77.jpg,37.57299,127.004364,77,True
3120014,37.572478_127.004779_274.jpg,37.572478,127.004779,274,True
3120014,37.572478_127.004779_94.jpg,37.572478,127.004779,94,True
3120014,37.572820_126.998908_55.jpg,37.57282,126.998908,55,True
3120014,37.572820_126.998908_235.jpg,37.57282,126.998908,235,True
3120014,37.572512_126.999171_236.jpg,37.572512,126.999171,236,True
3120014,37.572512_126.999171_56.jpg,37.572512,126.999171,56,True
3120014,37.570983_127.001944_92.jpg,37.570983,127.001944,92,True
3120014,37.570983_127.001944_272.jpg,37.570983,127.001944,272,True
3120014,37.569748_127.002022_269.jpg,37.569748,127.002022,269,True
3120014,37.569748_127.002022_89.jpg,37.569748,127.002022,89,True
3120013,37.576078_127.002754_276.jpg,37.576078,127.002754,276,True
3120013,37.576078_127.002754_96.jpg,37.576078,127.002754,96,True
3120013,37.575482_127.002918_76.jpg,37.575482,127.002918,76,True
3120013,37.575482_127.002918_256.jpg,37.575482,127.002918,256,True
3120013,37.574217_127.003502_233.jpg,37.574217,127.003502,233,True
3120013,37.574217_127.003502_53.jpg,37.574217,127.003502,53,True
3120013,37.573885_127.003868_236.jpg,37.573885,127.003868,236,True
3120013,37.573885_127.003868_56.jpg,37.573885,127.003868,56,True
3120013,37.573625_127.004092_236.jpg,37.573625,127.004092,236,True
3120013,37.573625_127.004092_56.jpg,37.573625,127.004092,56,True
3120013,37.574716_126.999994_165.jpg,37.574716,126.999994,165,True
3120013,37.574716_126.999994_345.jpg,37.574716,126.999994,345,True
3120013,37.576223_127.002159_93.jpg,37.576223,127.002159,93,True
3120013,37.576223_127.002159_273.jpg,37.576223,127.002159,273,True
3120013,37.575876_127.002144_272.jpg,37.575876,127.002144,272,True
3120013,37.575876_127.002144_92.jpg,37.575876,127.002144,92,True
3120009,37.568196_126.990152_270.jpg,37.568196,126.990152,270,True
3120009,37.568196_126.990152_90.jpg,37.568196,126.990152,90,True
3120009,37.571442_126.989118_348.jpg,37.571442,126.989118,348,True
3120009,37.571442_126.989118_168.jpg,37.571442,126.989118,168,True
3120009,37.572575_126.991726_177.jpg,37.572575,126.991726,177,True
3120009,37.572575_126.991726_357.jpg,37.572575,126.991726,357,True
3120009,37.572403_126.988780_248.jpg,37.572403,126.98878,248,True
3120009,37.572403_126.988780_68.jpg,37.572403,126.98878,68,True
3120009,37.572147_126.993672_40.jpg,37.572147,126.993672,40,True
3120009,37.572147_126.993672_220.jpg,37.572147,126.993672,220,True
3120009,37.570515_126.989443_84.jpg,37.570515,126.989443,84,True
3120009,37.570515_126.989443_264.jpg,37.570515,126.989443,264,True
3120009,37.571914_126.989049_64.jpg,37.571914,126.989049,64,True
3120009,37.571914_126.989049_244.jpg,37.571914,126.989049,244,True
3120009,37.569272_126.992020_358.jpg,37.569272,126.99202,358,True
3120009,37.569272_126.992020_178.jpg,37.569272,126.99202,178,True
3120009,37.569256_126.991561_358.jpg,37.569256,126.991561,358,True
3120009,37.569256_126.991561_178.jpg,37.569256,126.991561,178,True
3120009,37.577258_126.989329_270.jpg,37.577258,126.989329,270,True
3120009,37.577258_126.989329_90.jpg,37.577258,126.989329,90,True
3120009,37.573544_126.987678_148.jpg,37.573544,126.987678,148,True
3120009,37.573544_126.987678_328.jpg,37.573544,126.987678,328,True
3120009,37.571193_126.989298_256.jpg,37.571193,126.989298,256,True
